科目,20220331,20211231,20201231,20191231
其他业务成本(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
其他业务收入(元),"累计:23000000.00 同比:-4.17% 环比:-- 单季:23000000.00, 单季同比:-4.17%, 单季环比:--","累计:105000000.00 同比:-5.41% 环比:-2.78% 单季:-3000000.00, 单季同比:-106.12%, 单季环比:-109.38%","累计:111000000.00 同比:0.91% 环比:79.03% 单季:49000000.00, 单季同比:11.36%, 单季环比:172.22%","累计:110000000.00 同比:-35.29% 环比:66.67% 单季:44000000.00, 单季同比:69.23%, 单季环比:62.96%"
加：其他综合收益(元),"累计:-94000000.00 同比:-124.54% 环比:-- 单季:-94000000.00, 单季同比:-124.54%, 单季环比:--","累计:1323000000.00 同比:-- 环比:18.76% 单季:209000000.00, 单季同比:-159.71%, 单季环比:84.96%","累计:-1852000000.00 同比:-221.20% 环比:-- 单季:-350000000.00, 单季同比:-203.24%, 单季环比:-74.00%","累计:1528000000.00 同比:67.54% 环比:28.51% 单季:339000000.00, 单季同比:-24.50%, 单季环比:-13.52%"
其他收益(元),"累计:48000000.00 同比:-21.31% 环比:-- 单季:48000000.00, 单季同比:-21.31%, 单季环比:--","累计:225000000.00 同比:29.31% 环比:11.94% 单季:24000000.00, 单季同比:-44.19%, 单季环比:-66.20%","累计:174000000.00 同比:-20.55% 环比:32.82% 单季:43000000.00, 单季同比:26.47%, 单季环比:168.75%","累计:219000000.00 同比:69.77% 环比:18.38% 单季:34000000.00, 单季同比:25.93%, 单季环比:70.00%"
加：公允价值变动净收益(元),"累计:690000000.00 同比:292.05% 环比:-- 单季:690000000.00, 单季同比:292.05%, 单季环比:--","累计:2080000000.00 同比:-- 环比:38.48% 单季:578000000.00, 单季同比:-202.30%, 单季环比:101.39%","累计:-614000000.00 同比:-1353.06% 环比:-- 单季:-565000000.00, 单季同比:-343.53%, 单季环比:-227.25%","累计:49000000.00 同比:-94.51% 环比:-- 单季:232000000.00, 单季同比:-249.68%, 单季环比:-170.95%"
加：汇兑净收益(元),"累计:661000000.00 同比:31.41% 环比:-- 单季:661000000.00, 单季同比:31.41%, 单季环比:--","累计:1320000000.00 同比:73.23% 环比:32.93% 单季:327000000.00, 单季同比:313.92%, 单季环比:-32.99%","累计:762000000.00 同比:-36.29% 环比:11.57% 单季:79000000.00, 单季同比:-19.39%, 单季环比:-41.48%","累计:1196000000.00 同比:472.25% 环比:8.93% 单季:98000000.00, 单季同比:-60.64%, 单季环比:-82.75%"
加：投资净收益(元),"累计:3878000000.00 同比:40.66% 环比:-- 单季:3878000000.00, 单季同比:40.66%, 单季环比:--","累计:12243000000.00 同比:23.40% 环比:30.70% 单季:2876000000.00, 单季同比:77.75%, 单季环比:-15.51%","累计:9921000000.00 同比:2.17% 环比:19.49% 单季:1618000000.00, 单季同比:-18.82%, 单季环比:482.01%","累计:9710000000.00 同比:5.70% 环比:25.83% 单季:1993000000.00, 单季同比:-4.50%, 单季环比:-28.28%"
加：营业外收入(元),"累计:14000000.00 同比:-26.32% 环比:-- 单季:14000000.00, 单季同比:-26.32%, 单季环比:--","累计:158000000.00 同比:105.19% 环比:88.10% 单季:74000000.00, 单季同比:208.33%, 单季环比:27.59%","累计:77000000.00 同比:-22.22% 环比:45.28% 单季:24000000.00, 单季同比:-35.14%, 单季环比:-4.00%","累计:99000000.00 同比:253.57% 环比:59.68% 单季:37000000.00, 单季同比:164.29%, 单季环比:60.87%"
综合收益总额(元),"累计:12756000000.00 同比:21.31% 环比:-- 单季:12756000000.00, 单季同比:21.31%, 单季环比:--","累计:37659000000.00 同比:39.09% 环比:24.50% 单季:7410000000.00, 单季同比:19.90%, 单季环比:-36.48%","累计:27076000000.00 同比:-8.91% 环比:29.58% 单季:6180000000.00, 单季同比:25.79%, 单季环比:-16.19%","累计:29723000000.00 同比:15.52% 环比:19.80% 单季:4913000000.00, 单季同比:2.12%, 单季环比:-42.94%"
归属于少数股东的综合收益总额(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
归属于母公司普通股东综合收益总额(元),"累计:12756000000.00 同比:21.31% 环比:-- 单季:12756000000.00, 单季同比:21.31%, 单季环比:--","累计:37659000000.00 同比:39.09% 环比:24.50% 单季:7410000000.00, 单季同比:19.90%, 单季环比:-36.48%","累计:27076000000.00 同比:-8.91% 环比:29.58% 单季:6180000000.00, 单季同比:25.79%, 单季环比:-16.19%","累计:29723000000.00 同比:15.52% 环比:19.80% 单季:4913000000.00, 单季同比:2.12%, 单季环比:-42.94%"
营业总成本(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
营业总收入(元),"累计:46207000000.00 同比:10.57% 环比:-- 单季:46207000000.00, 单季同比:10.57%, 单季环比:--","累计:169383000000.00 同比:10.32% 环比:33.17% 单季:42193000000.00, 单季同比:14.10%, 单季环比:-0.75%","累计:153542000000.00 同比:11.30% 环比:31.72% 单季:36978000000.00, 单季同比:5.65%, 单季环比:-3.29%","累计:137958000000.00 同比:18.20% 环比:33.99% 单季:35000000000.00, 单季同比:16.46%, 单季环比:-0.37%"
利润总额(元),"累计:16184000000.00 同比:25.71% 环比:-- 单季:16184000000.00, 单季同比:25.71%, 单季环比:--","累计:45879000000.00 同比:24.83% 环比:24.72% 单季:9092000000.00, 单季同比:14.68%, 单季环比:-37.06%","累计:36754000000.00 同比:1.42% 环比:27.50% 单季:7928000000.00, 单季同比:42.49%, 单季环比:-29.46%","累计:36240000000.00 同比:12.44% 环比:18.14% 单季:5564000000.00, 单季同比:-1.78%, 单季环比:-47.87%"
未确认投资损失(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
