科目,20220331,20211231,20201231,20191231
投资性房地产(元),"累计:516000000.00 同比:-1.15% 环比:-- 单季:516000000.00, 单季同比:-1.15%, 单季环比:--","累计:558000000.00 同比:-2.62% 环比:-1.59% 单季:--, 单季同比:--, 单季环比:--","累计:573000000.00 同比:131.98% 环比:-1.21% 单季:--, 单季同比:--, 单季环比:--","累计:247000000.00 同比:27.32% 环比:17.06% 单季:--, 单季同比:--, 单季环比:--"
减：库存股(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
同业和其他金融机构存放款项(元),"累计:345324000000.00 同比:-27.83% 环比:-- 单季:345324000000.00, 单季同比:-27.83%, 单季环比:--","累计:345131000000.00 同比:-26.50% 环比:-0.47% 单季:--, 单季同比:--, 单季环比:--","累计:469551000000.00 同比:27.36% 环比:10.75% 单季:--, 单季同比:--, 单季环比:--","累计:368691000000.00 同比:-6.12% 环比:-14.76% 单季:--, 单季同比:--, 单季环比:--"
发放贷款及垫款(元),"累计:3073982000000.00 同比:13.35% 环比:-- 单季:3073982000000.00, 单季同比:13.35%, 单季环比:--","累计:2984753000000.00 同比:14.32% 环比:2.78% 单季:--, 单季同比:--, 单季环比:--","累计:2610841000000.00 同比:15.56% 环比:3.67% 单季:--, 单季同比:--, 单季环比:--","累计:2259349000000.00 同比:15.88% 环比:8.11% 单季:--, 单季同比:--, 单季环比:--"
拆入资金(元),"累计:35852000000.00 同比:47.91% 环比:-- 单季:35852000000.00, 单季同比:47.91%, 单季环比:--","累计:32394000000.00 同比:-21.06% 环比:-20.74% 单季:--, 单季同比:--, 单季环比:--","累计:41034000000.00 同比:57.39% 环比:-25.93% 单季:--, 单季同比:--, 单季环比:--","累计:26071000000.00 同比:5.95% 环比:1.64% 单季:--, 单季同比:--, 单季环比:--"
拆出资金(元),"累计:131340000000.00 同比:67.56% 环比:-- 单季:131340000000.00, 单季同比:67.56%, 单季环比:--","累计:94473000000.00 同比:33.07% 环比:-19.84% 单季:--, 单季同比:--, 单季环比:--","累计:70996000000.00 同比:-10.55% 环比:-27.66% 单季:--, 单季同比:--, 单季环比:--","累计:79369000000.00 同比:8.82% 环比:-7.26% 单季:--, 单季同比:--, 单季环比:--"
长期股权投资(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
少数股东权益(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
其他资产(元),"累计:40943000000.00 同比:37.06% 环比:-- 单季:40943000000.00, 单季同比:37.06%, 单季环比:--","累计:42164000000.00 同比:104.88% 环比:-6.31% 单季:--, 单季同比:--, 单季环比:--","累计:20580000000.00 同比:14.71% 环比:-11.94% 单季:--, 单季同比:--, 单季环比:--","累计:17941000000.00 同比:30.21% 环比:-10.53% 单季:--, 单季同比:--, 单季环比:--"
其他债权投资(元),"累计:167442000000.00 同比:-11.08% 环比:-- 单季:167442000000.00, 单季同比:-11.08%, 单季环比:--","累计:152428000000.00 同比:-22.65% 环比:11.48% 单季:--, 单季同比:--, 单季环比:--","累计:197073000000.00 同比:8.13% 环比:-14.68% 单季:--, 单季同比:--, 单季环比:--","累计:182264000000.00 同比:157.93% 环比:16.56% 单季:--, 单季同比:--, 单季环比:--"
其他权益工具投资(元),"累计:5410000000.00 同比:142.17% 环比:-- 单季:5410000000.00, 单季同比:142.17%, 单季环比:--","累计:2592000000.00 同比:57.19% 环比:-0.23% 单季:--, 单季同比:--, 单季环比:--","累计:1649000000.00 同比:-10.57% 环比:-19.87% 单季:--, 单季同比:--, 单季环比:--","累计:1844000000.00 同比:21.40% 环比:1.49% 单季:--, 单季同比:--, 单季环比:--"
其他权益工具(元),"累计:69944000000.00 同比:-- 环比:-- 单季:69944000000.00, 单季同比:--, 单季环比:--","累计:69944000000.00 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:69944000000.00 同比:75.09% 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:39948000000.00 同比:100.21% 环比:100.21% 单季:--, 单季同比:--, 单季环比:--"
优先股(元),"累计:19953000000.00 同比:-- 环比:-- 单季:19953000000.00, 单季同比:--, 单季环比:--","累计:19953000000.00 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:19953000000.00 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:19953000000.00 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
